epoch,lr,train_loss,val_loss,mAP@0.5,train_box,train_cls,train_l1,val_box,val_cls,val_l1,val_epoch
1.000000,0.000125,560.322307,77.784337,0.104841,3.729635,24.915648,0.061643,2.251775,2.476894,0.028702,10.000000
2.000000,0.000250,110.355421,71.962372,0.143492,2.959559,3.785447,0.044948,2.095266,2.257654,0.025894,20.000000
3.000000,0.000375,101.111698,70.092604,0.161627,2.763813,3.411244,0.040274,2.054803,2.169850,0.025096,30.000000
4.000000,0.000500,95.443450,69.363103,0.176440,2.636274,3.186674,0.037330,2.027064,2.135683,0.024681,40.000000
5.000000,0.000625,91.409847,69.247195,0.179398,2.537934,3.031273,0.035003,2.025431,2.131445,0.024586,50.000000
6.000000,0.000750,88.432203,68.548593,0.191360,2.466361,2.915356,0.033470,1.990522,2.110133,0.023983,60.000000
7.000000,0.000750,85.817437,,,2.406090,2.810341,0.032042,,,,
8.000000,0.000750,83.922853,,,2.358780,2.738278,0.031046,,,,
9.000000,0.000750,82.417905,,,2.324382,2.674790,0.030237,,,,
10.000000,0.000750,81.138538,,,2.291482,2.625752,0.029656,,,,
11.000000,0.000750,80.089645,,,2.264418,2.584990,0.029116,,,,
12.000000,0.000750,79.107193,,,2.241819,2.544798,0.028801,,,,
13.000000,0.000750,78.443872,,,2.224327,2.519230,0.028327,,,,
14.000000,0.000750,77.806643,,,2.208698,2.493991,0.028020,,,,
15.000000,0.000750,77.236198,,,2.194198,2.471282,0.027762,,,,
16.000000,0.000750,76.633393,,,2.178747,2.448632,0.027574,,,,
17.000000,0.000750,76.352941,,,2.176987,2.430240,0.027388,,,,
18.000000,0.000750,75.966201,,,2.164572,2.417447,0.027159,,,,
19.000000,0.000750,75.679649,,,2.159411,2.403870,0.027131,,,,
20.000000,0.000750,75.431788,,,2.162377,2.384632,0.027037,,,,
21.000000,0.000750,75.037804,,,2.143608,2.378098,0.026818,,,,
22.000000,0.000750,74.905194,,,2.143390,2.368654,0.026709,,,,
23.000000,0.000750,74.657065,,,2.133357,2.362143,0.026614,,,,
24.000000,0.000749,74.517467,,,2.129677,2.355537,0.026596,,,,
25.000000,0.000749,74.280291,,,2.130361,2.338587,0.026521,,,,
26.000000,0.000749,74.101506,,,2.120477,2.338199,0.026492,,,,
27.000000,0.000749,73.969596,,,2.119829,2.329361,0.026429,,,,
28.000000,0.000749,73.752230,,,2.112515,2.323491,0.026273,,,,
29.000000,0.000749,73.601408,,,2.110286,2.314127,0.026225,,,,
30.000000,0.000749,73.490152,,,2.108995,2.307823,0.026131,,,,
31.000000,0.000749,73.505403,,,2.108811,2.308212,0.026141,,,,
32.000000,0.000749,73.478365,,,2.107347,2.307129,0.026094,,,,
33.000000,0.000749,73.395369,,,2.103862,2.305579,0.026045,,,,
34.000000,0.000749,73.113832,,,2.099631,2.290945,0.026029,,,,
35.000000,0.000749,73.245211,,,2.109233,2.290021,0.025996,,,,
36.000000,0.000748,72.911449,,,2.092698,2.283978,0.025948,,,,
37.000000,0.000748,72.995564,,,2.100855,2.280089,0.025891,,,,
38.000000,0.000748,72.770226,,,2.091031,2.275416,0.025787,,,,
39.000000,0.000748,72.770211,,,2.088234,2.276668,0.025813,,,,
40.000000,0.000748,72.731608,,,2.088556,2.274556,0.025842,,,,
41.000000,0.000748,72.598048,,,2.082642,2.272047,0.025715,,,,
42.000000,0.000748,72.593563,,,2.086404,2.264584,0.025739,,,,
43.000000,0.000748,72.552281,,,2.086053,2.263307,0.025696,,,,
44.000000,0.000748,72.362972,,,2.078992,2.258554,0.025692,,,,
45.000000,0.000747,72.316161,,,2.079786,2.254147,0.025646,,,,
46.000000,0.000747,72.178673,,,2.075244,2.249033,0.025562,,,,
47.000000,0.000747,72.158635,,,2.073985,2.249214,0.025591,,,,
48.000000,0.000747,72.265082,,,2.078490,2.249520,0.025643,,,,
49.000000,0.000747,72.096497,,,2.075885,2.241016,0.025468,,,,
50.000000,0.000747,72.083652,,,2.077379,2.239084,0.025537,,,,
51.000000,0.000747,71.784205,,,2.069435,2.227465,0.025308,,,,
52.000000,0.000746,71.887190,,,2.067137,2.237533,0.025464,,,,
53.000000,0.000746,71.932908,,,2.069062,2.236974,0.025390,,,,
54.000000,0.000746,71.779413,,,2.063910,2.231864,0.025413,,,,
55.000000,0.000746,71.868070,,,2.067027,2.232796,0.025363,,,,
56.000000,0.000746,71.802065,,,2.066896,2.229158,0.025420,,,,
57.000000,0.000746,71.641173,,,2.059746,2.224236,0.025275,,,,
58.000000,0.000745,71.492405,,,2.054156,2.221518,0.025264,,,,
59.000000,0.000745,71.792211,,,2.063008,2.230658,0.025219,,,,
60.000000,0.000745,71.581108,,,2.059344,2.219505,0.025235,,,,
