epoch,lr,train_loss,val_loss,mAP@0.5,train_box,train_cls,train_l1,val_box,val_cls,val_l1,val_epoch
1.000000,0.000125,698.194699,82.375118,0.081639,3.868659,31.585881,0.063618,2.353407,2.664960,0.030647,10.000000
2.000000,0.000250,113.629937,77.205314,0.110949,3.024290,3.924388,0.046609,2.222180,2.460079,0.028079,20.000000
3.000000,0.000375,104.579191,75.316846,0.121145,2.833135,3.560038,0.041997,2.166821,2.391732,0.027299,30.000000
4.000000,0.000500,99.156387,74.693068,0.128349,2.719955,3.336999,0.039262,2.159884,2.349293,0.026793,40.000000
5.000000,0.000625,95.358313,73.716035,0.137087,2.628444,3.191611,0.037102,2.138824,2.306772,0.026645,50.000000
6.000000,0.000750,92.490587,74.310526,0.135265,2.562710,3.077764,0.035529,2.141807,2.341638,0.026664,60.000000
7.000000,0.000750,90.169535,,,2.506479,2.986732,0.034059,,,,
8.000000,0.000750,88.203830,,,2.452954,2.915984,0.033089,,,,
9.000000,0.000750,86.854669,,,2.420602,2.860006,0.032237,,,,
10.000000,0.000750,85.792701,,,2.395164,2.818037,0.031733,,,,
11.000000,0.000750,84.803896,,,2.372367,2.777103,0.031160,,,,
12.000000,0.000750,83.923222,,,2.351062,2.742354,0.030809,,,,
13.000000,0.000750,83.258980,,,2.329590,2.719421,0.030387,,,,
14.000000,0.000750,82.684946,,,2.315383,2.696838,0.030104,,,,
15.000000,0.000750,82.165237,,,2.304068,2.676941,0.029914,,,,
16.000000,0.000750,81.667691,,,2.289079,2.658053,0.029640,,,,
17.000000,0.000750,81.291956,,,2.285149,2.636771,0.029506,,,,
18.000000,0.000750,80.995793,,,2.268984,2.632167,0.029283,,,,
19.000000,0.000750,80.710596,,,2.265456,2.617506,0.029127,,,,
20.000000,0.000750,80.481872,,,2.266623,2.603886,0.029109,,,,
21.000000,0.000750,80.210244,,,2.256974,2.595369,0.028952,,,,
22.000000,0.000750,79.983295,,,2.252055,2.584305,0.028808,,,,
23.000000,0.000750,79.711208,,,2.239689,2.580526,0.028665,,,,
24.000000,0.000749,79.760491,,,2.241355,2.580791,0.028742,,,,
25.000000,0.000749,79.451941,,,2.236896,2.564706,0.028562,,,,
26.000000,0.000749,79.376200,,,2.229864,2.566888,0.028527,,,,
27.000000,0.000749,79.284807,,,2.234581,2.555303,0.028569,,,,
28.000000,0.000749,79.024310,,,2.224837,2.547831,0.028358,,,,
29.000000,0.000749,78.893732,,,2.221393,2.543438,0.028319,,,,
30.000000,0.000749,78.790724,,,2.222955,2.534256,0.028184,,,,
31.000000,0.000749,78.831664,,,2.219308,2.539782,0.028224,,,,
32.000000,0.000749,78.850513,,,2.224739,2.535183,0.028148,,,,
33.000000,0.000749,78.642861,,,2.215084,2.530590,0.028039,,,,
34.000000,0.000749,78.431383,,,2.213208,2.519983,0.028150,,,,
35.000000,0.000749,78.496751,,,2.220174,2.515834,0.028045,,,,
36.000000,0.000748,78.251481,,,2.204749,2.515476,0.028019,,,,
37.000000,0.000748,78.375436,,,2.216580,2.510037,0.028020,,,,
38.000000,0.000748,78.059048,,,2.202972,2.504346,0.027880,,,,
39.000000,0.000748,78.033835,,,2.202145,2.501860,0.027932,,,,
40.000000,0.000748,78.036558,,,2.202361,2.502487,0.027931,,,,
41.000000,0.000748,77.993828,,,2.199102,2.503663,0.027882,,,,
42.000000,0.000748,78.042271,,,2.205302,2.497817,0.027900,,,,
43.000000,0.000748,77.765600,,,2.200437,2.485641,0.027765,,,,
44.000000,0.000748,77.850511,,,2.199663,2.491354,0.027825,,,,
45.000000,0.000747,77.750242,,,2.198956,2.485749,0.027773,,,,
46.000000,0.000747,77.534972,,,2.190990,2.478545,0.027728,,,,
47.000000,0.000747,77.730315,,,2.194402,2.488543,0.027743,,,,
48.000000,0.000747,77.574294,,,2.193770,2.478135,0.027722,,,,
49.000000,0.000747,77.673744,,,2.199239,2.478386,0.027577,,,,
50.000000,0.000747,77.660102,,,2.199326,2.478080,0.027713,,,,
51.000000,0.000747,77.323502,,,2.193799,2.461151,0.027557,,,,
52.000000,0.000746,77.397508,,,2.188088,2.472852,0.027611,,,,
53.000000,0.000746,77.388488,,,2.188666,2.469754,0.027518,,,,
54.000000,0.000746,77.173432,,,2.177711,2.466423,0.027513,,,,
55.000000,0.000746,77.320284,,,2.185079,2.466655,0.027529,,,,
56.000000,0.000746,77.331305,,,2.189311,2.463101,0.027535,,,,
57.000000,0.000746,76.985691,,,2.179988,2.450802,0.027411,,,,
58.000000,0.000745,77.095869,,,2.177350,2.459593,0.027431,,,,
59.000000,0.000745,77.205878,,,2.181286,2.462842,0.027471,,,,
60.000000,0.000745,77.020725,,,2.182117,2.449076,0.027382,,,,
