epoch,lr,train_loss,val_loss,mAP@0.5,train_box,train_cls,train_l1,val_box,val_cls,val_l1,val_epoch
1.000000,0.000083,475.855073,73.077345,0.134314,3.620933,20.565594,0.059297,2.107210,2.313383,0.026785,10.000000
2.000000,0.000167,107.438069,67.357305,0.170050,2.898429,3.660275,0.043749,1.960672,2.083983,0.024040,20.000000
3.000000,0.000250,97.969102,64.893750,0.203938,2.697960,3.279264,0.039023,1.898346,1.985326,0.023086,30.000000
4.000000,0.000333,92.251139,63.802097,0.220356,2.567268,3.053215,0.035895,1.866763,1.940491,0.022800,40.000000
5.000000,0.000417,88.025323,,,2.460594,2.893792,0.033489,,,,
6.000000,0.000500,85.012594,,,2.384344,2.778090,0.031869,,,,
7.000000,0.000500,82.092244,,,2.311460,2.665389,0.030353,,,,
8.000000,0.000500,79.720842,,,2.253921,2.571320,0.029226,,,,
9.000000,0.000500,78.184613,,,2.219861,2.506031,0.028408,,,,
10.000000,0.000500,76.862450,,,2.182437,2.457817,0.027712,,,,
11.000000,0.000500,75.680102,,,2.156796,2.406573,0.027251,,,,
12.000000,0.000500,74.778295,,,2.133256,2.372283,0.026800,,,,
13.000000,0.000500,73.824098,,,2.110034,2.334239,0.026491,,,,
14.000000,0.000500,73.263479,,,2.096333,2.312142,0.026207,,,,
15.000000,0.000500,72.584349,,,2.080100,2.283674,0.025904,,,,
16.000000,0.000500,72.120900,,,2.071995,2.261081,0.025602,,,,
17.000000,0.000500,71.684281,,,2.057986,2.245638,0.025493,,,,
18.000000,0.000500,71.260036,,,2.052245,2.223552,0.025292,,,,
19.000000,0.000500,70.749626,,,2.035266,2.207903,0.025104,,,,
20.000000,0.000500,70.486788,,,2.029522,2.195090,0.024958,,,,
21.000000,0.000500,70.082312,,,2.018217,2.179662,0.024774,,,,
22.000000,0.000500,69.802378,,,2.013905,2.165795,0.024712,,,,
23.000000,0.000500,69.479876,,,2.007046,2.151515,0.024550,,,,
24.000000,0.000500,69.298545,,,2.002351,2.144393,0.024478,,,,
25.000000,0.000500,69.014406,,,1.995865,2.131672,0.024317,,,,
26.000000,0.000500,69.089219,,,1.997786,2.133623,0.024328,,,,
27.000000,0.000500,68.784516,,,1.990896,2.120127,0.024163,,,,
28.000000,0.000499,68.516068,,,1.983007,2.111924,0.024139,,,,
29.000000,0.000499,68.448903,,,1.981632,2.108785,0.024124,,,,
30.000000,0.000499,68.343064,,,1.979684,2.101852,0.024038,,,,
31.000000,0.000499,68.028147,,,1.971828,2.088456,0.023940,,,,
32.000000,0.000499,68.074923,,,1.972145,2.091580,0.023977,,,,
33.000000,0.000499,67.947251,,,1.967836,2.087918,0.023877,,,,
34.000000,0.000499,67.906256,,,1.968195,2.084100,0.023845,,,,
35.000000,0.000499,67.781099,,,1.965145,2.077646,0.023822,,,,
36.000000,0.000499,67.594516,,,1.958847,2.072589,0.023702,,,,
37.000000,0.000499,67.473991,,,1.955621,2.067866,0.023677,,,,
38.000000,0.000499,67.417263,,,1.957887,2.061797,0.023657,,,,
39.000000,0.000499,67.422628,,,1.955846,2.062044,0.023624,,,,
40.000000,0.000499,67.299130,,,1.953466,2.055015,0.023475,,,,
